ID,Prob1
0, 0.00
1, 0.54
2, 0.10
3, 0.54
4, 0.37
5, 0.51
6, 0.24
7, 0.13
8, 0.81
9, 0.07
10, 0.51
11, 0.09
12, 0.21
13, 0.52
14, 0.12
15, 0.26
16, 0.34
17, 0.24
18, 0.69
19, 0.19
20, 0.17
21, 0.14
22, 0.59
23, 0.87
24, 0.69
25, 0.62
26, 0.31
27, 0.08
28, 0.81
29, 0.07
30, 0.70
31, 0.53
32, 0.02
33, 0.08
34, 0.42
35, 0.24
36, 0.70
37, 0.61
38, 0.53
39, 0.23
40, 0.94
41, 0.95
42, 0.59
43, 0.84
44, 0.71
45, 0.02
46, 0.25
47, 0.59
48, 0.96
49, 0.81
50, 0.67
51, 0.86
52, 0.18
53, 0.92
54, 0.66
55, 0.93
56, 0.02
57, 0.85
58, 0.03
59, 0.85
60, 0.58
61, 0.47
62, 0.40
63, 0.70
64, 0.25
65, 0.01
66, 0.84
67, 0.21
68, 0.59
69, 0.19
70, 0.64
71, 0.58
72, 0.86
73, 0.58
74, 0.67
75, 0.34
76, 0.52
77, 0.49
78, 0.60
79, 0.63
80, 0.73
81, 0.67
82, 0.52
83, 0.33
84, 0.43
85, 0.05
86, 0.65
87, 0.31
88, 0.75
89, 0.68
90, 0.15
91, 0.44
92, 0.04
93, 0.14
94, 0.79
95, 0.13
96, 0.36
97, 0.66
98, 0.24
99, 0.14
100, 0.57
101, 0.12
102, 0.75
103, 0.19
104, 0.87
105, 0.76
106, 0.14
107, 0.17
108, 0.25
109, 0.43
110, 0.80
111, 0.23
112, 0.34
113, 0.11
114, 0.35
115, 0.11
116, 1.00
117, 0.47
118, 0.47
119, 0.01
120, 0.01
121, 0.48
122, 0.19
123, 0.14
124, 0.73
125, 0.29
126, 0.45
127, 0.26
128, 0.42
129, 0.86
130, 0.81
131, 0.18
132, 0.89
133, 0.35
134, 0.37
135, 0.12
136, 0.62
137, 0.80
138, 0.85
139, 0.90
140, 0.29
141, 0.43
142, 0.32
143, 0.17
144, 0.39
145, 0.92
146, 0.06
147, 0.98
148, 0.04
149, 0.92
150, 0.08
151, 0.06
152, 0.22
153, 0.06
154, 0.82
155, 0.34
156, 0.65
157, 0.63
158, 0.26
159, 0.51
160, 0.71
161, 0.73
162, 0.73
163, 0.93
164, 0.04
165, 0.09
166, 0.09
167, 0.41
168, 0.94
169, 0.56
170, 0.65
171, 0.34
172, 0.97
173, 0.14
174, 0.56
175, 0.55
176, 0.26
177, 0.73
178, 0.48
179, 0.57
180, 0.82
181, 0.03
182, 0.10
183, 0.92
184, 0.97
185, 0.88
186, 0.70
187, 0.41
188, 0.84
189, 0.76
190, 0.92
191, 0.91
192, 0.61
193, 0.29
194, 0.65
195, 0.61
196, 0.84
197, 0.54
198, 0.20
199, 0.76
200, 0.73
201, 0.94
202, 0.13
203, 0.54
204, 0.23
205, 0.72
206, 0.39
207, 0.98
208, 0.61
209, 0.27
210, 0.11
211, 0.67
212, 0.61
213, 0.19
214, 0.23
215, 0.36
216, 0.51
217, 0.63
218, 0.58
219, 0.81
220, 0.76
221, 0.95
222, 0.71
223, 0.47
224, 0.24
225, 0.26
226, 0.05
227, 0.71
228, 0.96
229, 0.12
230, 0.69
231, 0.42
232, 0.10
233, 0.43
234, 0.68
235, 0.73
236, 0.83
237, 0.80
238, 0.13
239, 0.77
240, 0.00
241, 0.22
242, 0.87
243, 0.40
244, 0.31
245, 0.60
246, 0.20
247, 0.60
248, 0.05
249, 0.78
250, 0.55
251, 0.36
252, 0.72
253, 0.43
254, 0.37
255, 0.98
256, 0.20
257, 0.76
258, 0.66
259, 0.05
260, 0.38
261, 0.60
262, 0.16
263, 0.27
264, 0.94
265, 1.00
266, 0.43
267, 0.98
268, 0.20
269, 0.89
270, 0.57
271, 0.42
272, 0.54
273, 0.19
274, 0.64
275, 0.14
276, 0.03
277, 0.65
278, 0.05
279, 0.93
280, 0.91
281, 0.29
282, 0.67
283, 0.31
284, 0.85
285, 0.36
286, 0.81
287, 0.40
288, 0.24
289, 0.97
290, 0.26
291, 0.79
292, 0.13
293, 0.88
294, 0.06
295, 0.68
296, 0.99
297, 0.02
298, 0.68
299, 0.78
300, 0.62
301, 0.22
302, 0.40
303, 0.99
304, 0.77
305, 0.31
306, 0.99
307, 0.43
308, 0.54
309, 0.88
310, 0.79
311, 0.22
312, 0.90
313, 0.06
314, 0.82
315, 0.95
316, 0.96
317, 0.47
318, 0.81
319, 0.83
320, 0.19
321, 0.64
322, 0.44
323, 0.90
324, 0.11
325, 0.33
326, 0.41
327, 0.88
328, 0.57
329, 0.80
330, 0.43
331, 0.64
332, 0.73
333, 0.79
334, 0.72
335, 0.61
336, 0.01
337, 0.40
338, 0.74
339, 0.21
340, 0.57
341, 0.10
342, 0.10
343, 0.62
344, 0.38
345, 0.23
346, 0.61
347, 0.91
348, 0.77
349, 0.02
350, 0.39
351, 0.22
352, 0.08
353, 0.35
354, 0.23
355, 0.79
356, 0.56
357, 0.27
358, 0.40
359, 0.18
360, 0.37
361, 0.33
362, 0.22
363, 0.46
364, 1.00
365, 0.40
366, 0.77
367, 0.15
368, 0.96
369, 0.63
370, 0.42
371, 0.93
372, 0.14
373, 0.89
374, 0.63
375, 0.33
376, 0.08
377, 0.16
378, 0.16
379, 0.77
380, 0.47
381, 0.40
382, 0.64
383, 0.60
384, 0.58
385, 0.63
386, 0.23
387, 0.78
388, 0.52
389, 0.34
390, 0.97
391, 0.07
392, 0.13
393, 0.76
394, 0.21
395, 0.92
396, 0.53
397, 0.53
398, 0.63
399, 0.89
400, 0.70
401, 0.59
402, 0.47
403, 0.57
404, 0.97
405, 0.00
406, 0.41
407, 0.13
408, 0.11
409, 0.43
410, 0.24
